Date,AGO,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BHR,BLR,BOL,BRA,BTN,BWA,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DJI,DNK,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GHA,GRC,GTM,HRV,HUN,IDN,IND,IRL,IRN,ISR,ITA,JOR,JPN,KAZ,KEN,KOR,KWT,LAO,LKA,LTU,LUX,LVA,MAR,MCO,MDA,MEX,MNG,MUS,MYS,NGA,NLD,NOR,NPL,NZL,OMN,OWID_WRL,PAK,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SEN,SGP,SLB,SVK,SVN,SWE,THA,TKM,TUN,TUR,TWN,UGA,UKR,URY,USA,VEN,VNM,ZAF,ZWE
2006,,,,,1.0,,,,,,,,,,,,,,,8.0,,,,1.0,,,,,,1.0,,,,3.0,,,,,,,,,,,1.0,,,11.0,1.0,,2.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,95.0,,,,,,,,,,,16.0,,,,,,,,,1.0,,,,6.0,,,,36.0,,,,
2007,,,1.0,,1.0,,,,,,,,,1.0,,,2.0,,,10.0,1.0,,,3.0,,,,,1.0,,,,,,2.0,,,,,,1.0,5.0,,,1.0,3.0,,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,111.0,,,,,,,,,,,18.0,,6.0,,,,,,1.0,,,,,,,,,46.0,,,,
2008,,1.0,,,,,,,,,,,,1.0,,,5.0,,,17.0,,,,9.0,,1.0,,,,,,,,1.0,3.0,,,,,,,4.0,,,2.0,1.0,,6.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,109.0,,,,,,,,,,,21.0,,,,,,,,,1.0,,,1.0,,,,,25.0,2.0,1.0,,
2009,,1.0,,,1.0,,,,,,,,,1.0,,,2.0,1.0,,8.0,,,,4.0,,,,,,2.0,,,,3.0,3.0,,,,,,,4.0,,1.0,,1.0,,12.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,125.0,,,,,,,,,,,30.0,,,,,,,,,,,,1.0,,,,,38.0,,,1.0,
2010,,,,,,,,,,,,,,,,,,1.0,,20.0,,,,2.0,,,1.0,,1.0,1.0,,,,9.0,3.0,,,,,,,2.0,,,1.0,1.0,,9.0,,,2.0,,,,,2.0,,,,,,,,,,,1.0,,,,121.0,,,,,,,,,,,24.0,,,,,,,,2.0,,,,,,,1.0,,36.0,,,,
2011,,1.0,1.0,,,,,,,,,,,1.0,,,2.0,,1.0,20.0,,,,,,,,,,,,,,19.0,2.0,,,,,,,7.0,,1.0,1.0,1.0,,4.0,1.0,,,,,,,2.0,,,,,2.0,,,,2.0,,,,,,129.0,1.0,,,,,,,,,,24.0,,,,2.0,,,,,,,,1.0,,,2.0,,30.0,,,,
2012,,1.0,,,,,,,,,,1.0,,1.0,,,2.0,,,26.0,,,,1.0,,,,,,1.0,,,,5.0,4.0,,,,,1.0,1.0,2.0,,1.0,,4.0,,9.0,,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,134.0,,,,,1.0,1.0,,,,1.0,23.0,,,,,,,,2.0,,,,1.0,,,,,34.0,1.0,2.0,,
2013,,1.0,2.0,,,2.0,1.0,,,,,,1.0,1.0,,,4.0,,,19.0,,,,6.0,,2.0,,2.0,,2.0,1.0,,,8.0,7.0,,,,,,,5.0,,,1.0,1.0,,5.0,,,6.0,,,,,1.0,,,,,1.0,,,,,4.0,1.0,,,,210.0,1.0,2.0,,,1.0,,,,,,29.0,,,,1.0,,,,,,,,1.0,,,1.0,,80.0,,2.0,1.0,
2014,,,2.0,,1.0,,1.0,3.0,,,,,,2.0,,,4.0,,,25.0,,,,1.0,,1.0,,,1.0,1.0,,,,2.0,10.0,,,,,,,4.0,,,2.0,2.0,,24.0,3.0,,,,,,2.0,2.0,,,,,,,,1.0,,,1.0,,,,241.0,,1.0,,1.0,1.0,,,,,,35.0,,1.0,,2.0,,,,,1.0,,,1.0,,,1.0,1.0,96.0,,,1.0,
2015,,,1.0,,1.0,,,,,,,,,3.0,,,2.0,,,38.0,,,,,,1.0,,,,,,,,,7.0,,,,,,1.0,4.0,,1.0,,1.0,,4.0,,,1.0,,1.0,,,,,,,,2.0,,,,,,1.0,,,,222.0,,,,1.0,,,,,,,27.0,,,,6.0,,,,,,1.0,,1.0,,,,,105.0,,,,
2016,,,,,1.0,,,1.0,,,,1.0,,1.0,,,3.0,,,38.0,,,,2.0,,1.0,3.0,,,1.0,,,,2.0,1.0,,,,,,2.0,12.0,,,1.0,1.0,,11.0,,,,,,,,,,,,,1.0,,,,,,,,,,221.0,,1.0,1.0,,,1.0,,,,,14.0,,,,,,,,,1.0,,,1.0,,,,2.0,105.0,,,,
2017,1.0,1.0,,,1.0,1.0,,28.0,1.0,1.0,,,,4.0,,,,,1.0,31.0,,,,2.0,,,1.0,,,1.0,,,1.0,2.0,7.0,1.0,1.0,,,,1.0,9.0,,,3.0,4.0,,16.0,1.0,,5.0,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,4.0,,,,456.0,,,,,,,,,,,25.0,,,,,,1.0,,1.0,,,,,1.0,,,1.0,286.0,1.0,,,
2018,,1.0,1.0,,6.0,,1.0,,1.0,1.0,,1.0,,3.0,1.0,,5.0,1.0,,95.0,1.0,1.0,,11.0,,2.0,,,,5.0,,,4.0,2.0,12.0,,,,,,1.0,10.0,,,,1.0,1.0,17.0,3.0,1.0,11.0,,,,,9.0,,1.0,,,,,,2.0,,3.0,,,1.0,,452.0,2.0,,2.0,,1.0,,,,1.0,,23.0,,2.0,,,,,,,1.0,,,1.0,,,,2.0,191.0,,,1.0,
2019,,1.0,,,1.0,,,,,,,,,2.0,,,3.0,1.0,,76.0,,,1.0,11.0,,1.0,,,4.0,2.0,1.0,1.0,2.0,7.0,14.0,,1.0,,,2.0,1.0,10.0,,,3.0,3.0,,21.0,,,,,,1.0,2.0,4.0,,,,,1.0,,,,,,,1.0,1.0,,586.0,,,,,2.0,,,,,,30.0,,,,1.0,,,,1.0,1.0,,,,6.0,,,,362.0,,1.0,,
2020,,3.0,1.0,,3.0,,,3.0,,,,,,,,,6.0,1.0,,73.0,,,,5.0,,,,,,3.0,1.0,,2.0,4.0,104.0,,,1.0,,,,3.0,,1.0,2.0,1.0,,9.0,,,2.0,,,,2.0,8.0,,,1.0,,1.0,,,,,,,,8.0,,1274.0,,,,,,,,,,,24.0,,,,,,,2.0,,1.0,,,,,,,13.0,984.0,,,,
2021,,4.0,1.0,,8.0,,,1.0,,1.0,,,,3.0,,,11.0,10.0,,110.0,,,,9.0,,,,,,1.0,,,8.0,9.0,289.0,,,,,2.0,,5.0,,,4.0,8.0,,24.0,,,4.0,,,,3.0,11.0,,,,,2.0,,1.0,,,3.0,1.0,,4.0,,1814.0,,,3.0,,2.0,,,1.0,,,21.0,1.0,2.0,,,,1.0,,,2.0,,1.0,3.0,2.0,,,4.0,1232.0,,,,
2022,1.0,3.0,1.0,1.0,,,,,,1.0,,,,5.0,,,9.0,4.0,3.0,182.0,,,3.0,10.0,,,,,1.0,19.0,,,4.0,10.0,112.0,,2.0,,,,,11.0,,2.0,11.0,11.0,,12.0,,,8.0,,,,1.0,16.0,,,,1.0,,,,1.0,,1.0,3.0,,12.0,,2479.0,,,,,6.0,,,,,,50.0,,,,4.0,,,1.0,,,,,2.0,2.0,1.0,1.0,9.0,1936.0,,,3.0,1.0
2023,,2.0,1.0,1.0,11.0,1.0,,3.0,,1.0,,1.0,,2.0,,,18.0,5.0,,210.0,1.0,,1.0,10.0,1.0,2.0,,,3.0,13.0,1.0,,6.0,12.0,145.0,,,,,3.0,2.0,8.0,1.0,1.0,5.0,23.0,,16.0,,1.0,12.0,1.0,,,3.0,13.0,,,,,,,,2.0,,2.0,3.0,,,,2903.0,,,2.0,,2.0,1.0,,,,1.0,66.0,3.0,,,10.0,,1.0,,,1.0,,,9.0,6.0,,1.0,13.0,2233.0,,,1.0,
2024,,1.0,,,9.0,,,4.0,,,,,,2.0,,,3.0,,1.0,266.0,,,1.0,7.0,1.0,,,,1.0,8.0,,,4.0,22.0,31.0,,,,1.0,1.0,2.0,10.0,,11.0,,11.0,,26.0,,,5.0,,,,,8.0,,2.0,,,,12.0,,,,,4.0,,,1.0,2849.0,2.0,,,,2.0,,2.0,,,,97.0,3.0,,1.0,1.0,,1.0,,2.0,,,,5.0,3.0,,,4.0,2261.0,,,,1.0
2025,,13.0,,,12.0,,1.0,1.0,,2.0,1.0,2.0,,,,1.0,6.0,,,374.0,,,3.0,20.0,,2.0,,1.0,1.0,17.0,,,17.0,25.0,10.0,,5.0,,,2.0,1.0,7.0,,4.0,9.0,30.0,,30.0,,,22.0,,,,,14.0,,,,,2.0,,,,,,3.0,1.0,1.0,,4510.0,3.0,,,,8.0,,2.0,,1.0,,89.0,5.0,2.0,,3.0,1.0,,,,1.0,,,20.0,10.0,,,4.0,3708.0,,,,
