Date,AGO,ALB,ARE,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KIR,KOR,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SDN,SEN,SLB,SLE,SLV,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1973,,,,,,,,,,,,,,,,,,,,,,,393279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588394.0,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597831.0,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,,,,,,404669.0,,,,,,,,,,,,,,,,,,,,,,,,,,264056.0,,,133169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40879.0,,,,,,,,,,,,,,,,,,,,1611719.0,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622950.0,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,355697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137495.0,,,,,,,,,,,,,,,,387017392.0,,,,,,128174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100092.0,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,271402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667132.0,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,302448.0,,,,,,,,,,,,,,,,,,,,,,,,,,136461.0,,,0.0,,,,,,,,,,,,,,,,,,,,,14361.0,275020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9266.0,,,,,,299120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687023.0,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279357.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,128030.0,,,,,,,,,,,,,,,,,,,,5559423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135032.0,,,,,,,,,
1981,,,,,148263.0,,,,,,,,,,,,,38080973.0,,,,,248178.0,,,964146075.0,,,,,,,,823440.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,107433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41508.0,,,,,,14438049.0,,,,,,,,,42872.0,,,,,1145665.0,,1778312.0,,,,,,,
1982,,,,,,,,,,,,,,,,,,39303843.0,,,,,186646.0,44573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,132886.0,,,,,,,,,,,,,,,,,,,,,,132395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732224.0,,,,,,,,,
1983,,,,,,,,,,,,45530314.0,,,,,,48970230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,375080304.0,,,,,,123441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750567.0,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,49008738.0,,,,,256046.0,,,947320620.0,,,,,,,,,,,,,,,,,,,,,,,281466.0,,,139782.0,,,,,,,,,,,,,,,140798216.0,,,,,,,139150.0,,,,,,,,,,,,,,,,,,4888054.0,,,,10992635.0,,,,,,,,,,,,982360.0,,,,,,,14300069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1767208.0,,,,,,,,,
1985,,,,,158090.0,,,,23678.0,,,42006219.0,,,,,,43933702.0,,,573502.0,,192695.0,,,,1410421.0,,,,,,,,,,,,,,,,,175755.0,,,,,,,,123248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4390757.0,,,0.0,,,,,,,,,,,,,,,,,,,,,43643925.0,,,,,,,,,,,23928765.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601058.0,,,,,,,,1783612.0,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,23074035.0,,,,,260530.0,,,,1091312.0,,,,,,,542709.0,,,,,,572812.0,,,,,,,,,,,,139821.0,,,,,,,,,3877987.0,,,,,,,,,11220382.0,,,20606.0,139736.0,,0.0,,,,,,,,,,,,1059254.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,10205.0,,,,,,,,,,183990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1793422.0,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,35988703.0,,,,,132149.0,,2778998.0,882394635.0,1764498.0,,,,,,,,,,,,38353.0,,,,,,,,0.0,,,,,0.0,,11312688.0,,,,,,,,,,,,0.0,150620220.0,423633541.0,44082.0,,,,,666458.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,915589.0,,,953166.0,,,,,66224.0,,,,,,84762631.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,20680.0,,,,,,,,,,,,,4763857.0,,,,,,,1209680.0,,2259821.0,,,,,,,
1988,,,,,,,,,72806.0,,,55361610.0,,,,,,40474788.0,,,,,200770.0,,,,2722018.0,,,,,,,,,,,,,,2956552.0,,,,,,,,,,,129057.0,,11477472.0,,,,,,,,,,0.0,,,,,,,,,,,322896.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24492682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14146590.0,,,,,7208.0,,,,,,,,,1220549.0,,,,,,,,,
1989,,,,,125145.0,,,,,,,,,,,,,37579507.0,,,,,340782.0,,,,,,,,,,,438267.0,,,,,,1467751.0,,,,,,,,,,,,132317.0,,,,,,,,,3082674.0,,2395935.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,12004015.0,,,,,,,,,,,,855188.0,,,,,,,,,,,,715678.0,,,,0.0,,,,,0.0,,,,,,,1311974.0,,,,,,,,,,,,,,,,,,,,,,,,12378685.0,,,1232124.0,,1405498.0,,,,,,,
1990,,,,,,,,,,,,,,,,,,45246364.0,,,,,345712.0,,2154011.0,942566424.0,,,,,,,,433388.0,,,,,,,,,4229571.0,192170.0,,,,,144223.0,,,125285.0,,,,,,,,,,,2573568.0,,,,144204669.0,,,12617689.0,,,,,276845.0,,,,,,,,,,,,3836192.0,,,0.0,,2778345.0,,,,,,,,,,,,,,,,,,,,,179597.0,,,,,2299238382.0,93854208.0,,,,,,,102780.0,,,,,,,,,,,,,,,,,,,,,,,11523333.0,,,,,,1356479.0,,,,,,,,1240984.0,,,,,,,,,
1991,,,,,,,,,,,,58822273.0,,,,,,,,,,,349812.0,,,,,,,,,,,548888.0,,,0.0,,,,,,,,,,0.0,,,,,129928.0,,12920314.0,5784275.0,,505575.0,,,,,,2114556.0,,,232373.0,,,,,,,,129971.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,20254.0,,,,2321519965.0,,680320.0,,26162370.0,,,,,,,,,,,6185626.0,,,1589944.0,,,,,,,,,,,,,,,,,,,,,,0.0,20129508.0,,,,1263355.0,,,,,,,,5027171.0,
1992,,,,,,,,4978299.0,98772.0,,,,0.0,,,,,45363386.0,,,,2628440.0,211902.0,49913.0,1536917.0,,5351540.0,,,,5411831.0,,,453268.0,,0.0,188732.0,,25544.0,743109.0,,,,,,,,,,,,138242.0,,,,,,,,,,250079.0,1923465.0,,,,,,,,,,11031.0,,,46932.0,,,7811408.0,,,,1932030.0,,,,,,,0.0,,,,,,11462227.0,,,,,,,,,,,,942482.0,,7974670.0,56474168.0,,,,,,,2324117024.0,,,,,,85786.0,,,,,0.0,,,,,,,,,,,,0.0,,21108.0,,,,,,9165998.0,,,,,41177.0,,,,,,15128268.0,4224711.0,,1277182.0,,1430626.0,39812316.0,,,,,,
1993,,,,,,,,,,,,,,,,,,44215754.0,,,603728.0,,357880.0,,,904542399.0,,,,,,,,397313.0,,0.0,0.0,,,,,,,586878.0,24280.0,,,,,,,139200.0,,,,,559184.0,,,,,,1697193.0,,,0.0,150783602.0,442367724.0,,,,,,818768.0,503213.0,,,2529503.0,,,,,,,,,,,525509.0,0.0,0.0,,,11065387.0,,,,,,,,,,,1177094.0,,,,932129.0,,,2099305.0,225531.0,,,,,2333544246.0,,,,,,,,,,,,9235621.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2675949.0,,1945153.0,,,,,,,19318324.0,5615468.0,
1994,,,,,,18326.0,,,,,8930955.0,,,,,,,,,,,,286985.0,,1501075.0,,,,,,,,,324067.0,,,160978.0,,,,,2447887.0,,492517.0,,,,,,,,142713.0,,,2757754.0,,,,,,,,1837731.0,,,197886.0,,,17644.0,9696262.0,,,,,,,,,8272960.0,,,,,,,,,1154587.0,,0.0,,,,,,12181827.0,,,8906410.0,,,,,,,,,,,8457458.0,,,,,,,,2292804827.0,,,,26747045.0,,,,,,,4185087.0,,,,6280395.0,,,,,,,,,,,866734.0,,,,,5389121.0,,,,,,,6034601.0,,,,,,,1965866.0,,,,,,,,,
1995,,,,,178740.0,0.0,1510451.0,,73918.0,,,53687924.0,,,,37474.0,,31561171.0,,,,,218832.0,,,,6082997.0,,,,,,,374666.0,,,201285.0,,0.0,,3361476.0,,2720715.0,588846.0,,42653610.0,0.0,,,,,143389.0,,,,,,,210528.0,,,,1975686.0,,,,,,17828.0,,,,,422892.0,,,,,,,,,,,,61542.0,4084658.0,,,0.0,53528.0,,,,,,,,,,,,491913.0,,741578.0,,,1063900.0,,,,,,21405.0,15913336.0,,,2249560739.0,,575336.0,,,,964015.0,,838318.0,,,793221.0,,,,,,,1112910.0,,,,,,,44134.0,,,,,,,,,,,,1590120.0,,,106037.0,,,7490470.0,,1991054.0,,3361090.0,,,,,,,
1996,,94022.0,,,,0.0,,,,,,,,,,,,33908272.0,,,,,143894.0,,1172169.0,754908045.0,,7576559.0,,,9039187.0,,,425204.0,,0.0,0.0,,,639320.0,,,,594804.0,,,,,148573.0,,,143304.0,548347.0,,,,,,,,,,2252818.0,,,,138475776.0,,8149.0,,,,,,209103.0,,,2399608.0,,,,,,,,,,,,0.0,92711.0,,,,,20057037.0,,,,,,,,14571108.0,,,,,,,69742473.0,,,,,,,2209316427.0,63693175.0,,,,3022990.0,,,,,,,10557890.0,,,,,,1233324.0,,,,,93845.0,,,,,177836.0,,,3849753.0,,,,,,,,,,,16774894.0,7806232.0,,2016536.0,,,,,,,,5047689.0,
1997,,,,,,19600.0,,,50141.0,,,,,,,,1519630.0,33965874.0,,,,,147822.0,,,,,,,,,,,335723.0,,,0.0,,,665650.0,,,,394965.0,,,,,147580.0,,,144189.0,1228700.0,,,,,,,,,,1670793.0,,,,,,,,,,27214.0,,,0.0,,,9155021.0,,,,3205438.0,,,,,,,0.0,,,560772.0,12093085.0,,,,,,,,,,,,,6942656.0,366371.0,,,,,,,,,,2220964808.0,,564723.0,6789788.0,22710943.0,,,,714772.0,,,958283.0,4035957.0,,,,,,,,,,,,4597.0,,,,,,,,,,,,,,,,0.0,,,,,2042369.0,,,28690268.0,,,,,,
1998,,,,,,19100.0,,5487473.0,,,9716869.0,,,,3852229.0,,,32367592.0,,,,,150672.0,,1118938.0,,7346448.0,,,,,,,282767.0,,,0.0,,,,,,,383211.0,,,,,0.0,,,143620.0,1137298.0,12266690.0,,1074132.0,,,,,1491532.0,99350.0,2014095.0,,,,173804253.0,,,9779921.0,,,,991567.0,,,,,,,,,,,,,,,,0.0,,4842726.0,936505.0,,,20923659.0,,,,,,,921692.0,,,,,,,,,1696889.0,,,,,,2268906550.0,74694002.0,572099.0,6618335.0,,,,,,,,,5905955.0,,,,,,1549490.0,,,,,,,,,,,,,3517220.0,,1547023.0,,,,,,,,,,,,2065689.0,,3508273.0,,,,2849329.0,,5369289.0,
1999,,,,670487.0,,18063.0,,,,,,,,,3383560.0,,2079144.0,34362736.0,,,,,149259.0,,,731991989.0,,,,,10839305.0,,,358677.0,,,0.0,,,,,3358813.0,0.0,290833.0,,43745398.0,,,0.0,,,145845.0,1359863.0,,,,,,,,,,2055925.0,,,73800.0,141029369.0,,,,,,,,148174.0,,,,,,,,,,,,,,,0.0,,,1288740.0,12563729.0,,,,,,,,,,,,,,,,,,,32082.0,,,,,2267651748.0,,522932.0,6886066.0,,,384719.0,,752264.0,,,,10626104.0,,,,,,1326679.0,,,,,,4902.0,,,1422.0,,,,5183673.0,4931684.0,,,,,,,,,,19076407.0,,,2087376.0,,4020252.0,,,,,,,
2000,4396533.0,,,,,19599.0,,,31318.0,,,55665672.0,,,2645121.0,,2431630.0,,,,,,76046.0,17306.0,1334058.0,,,,,,9349572.0,,,384983.0,,,0.0,,0.0,709297.0,,4321027.0,,370259.0,,,0.0,,0.0,,,146575.0,1428388.0,,,,,,25529.0,,1028960.0,,,,,,141913938.0,,6784.0,,,,,711501.0,,,,,,3241382.0,,,,,,,,,,0.0,,4827986.0,1199045.0,,,16121362.0,,,,,,,,,811600.0,,,,,,,,,10557.0,,,,2234249241.0,,492048.0,6793644.0,22921265.0,,,,,,,,7513887.0,6784086.0,,,,,1096195.0,,,25085.0,,,,22142.0,682600.0,,,,,5313047.0,,,,4718.0,,1026490.0,,,0.0,30054013.0,,,,2115076.0,,,,,,,22740494.0,,
2001,,,,775368.0,191218.0,,924516.0,,,,,,,26918.0,1461878.0,,1953981.0,30935773.0,,,,,77360.0,,,,,4717915.0,,,11736084.0,,172714.0,304815.0,,,0.0,,,574142.0,,,,,,,,,0.0,,,146576.0,1474271.0,,,,,,,,,,1793721.0,,6351083.0,,136435133.0,,,,,,16032.0,,,,,3220766.0,,3041724.0,,,,,,,,,,0.0,,,939383.0,9787140.0,,,,,8186597.0,,,,,,,,,,,,,1338610.0,,,,,,2205171873.0,90693514.0,637979.0,7387512.0,,,,,698805.0,,,,4648191.0,,,6575775.0,,,1158578.0,,,,,,,22122.0,,,,,,,,,452474.0,,,,,,,,,,,2844775.0,,3681654.0,,,,,,,
2002,,127981.0,,632480.0,,,19809.0,,,,,,,,1029729.0,,2126121.0,28906000.0,,,613056.0,,75985.0,0.0,,616455476.0,,,,,8562858.0,,,267611.0,,0.0,0.0,257208.0,,797062.0,,,,,,,,46272.0,0.0,,,148073.0,887124.0,,4386188.0,,879644.0,,26357.0,,,,2009133.0,,,,104024227.0,,9242.0,,,,49107.0,998371.0,169234.0,58613.0,,2536982.0,,2900482.0,,,2429512.0,,,,4101373.0,1487784.0,,0.0,,,580226.0,,55272.0,13002918.0,,,,,,,458174.0,16791151.0,,,,,,,,,,,,,,2139164984.0,,538571.0,6656300.0,,,,,1030539.0,,,,2954801.0,,,,,,1169526.0,,,,,,,0.0,,,,,,2993863.0,,,,,,,5113752.0,,,,20294353.0,3045476.0,,2874840.0,,5630717.0,34114970.0,,10862.0,,,7428029.0,
2003,,,,472444.0,196681.0,30311.0,20482.0,,40807.0,5575330.0,9109756.0,,,,850374.0,,,30938326.0,,147246.0,,,75027.0,,1272500.0,,,,,,8090485.0,,,284468.0,,,189191.0,,19884.0,958694.0,,2521427.0,,383167.0,48694.0,,2569.0,,107369.0,,,149043.0,880641.0,,,877398.0,,,61112.0,,,,2420565.0,,,,102506240.0,,9018.0,,,109.0,62754.0,506042.0,,,,1931533.0,,2856415.0,,,,,,,,,,324.0,,,291249.0,,,,,,,,,,,,,,,783065.0,920741.0,,71425928.0,,,9988.0,14348173.0,,,2065835196.0,,535780.0,6193676.0,22248292.0,,,113229.0,736534.0,,,,3079284.0,,,,,3778485.0,1256189.0,,,,,,,31680.0,,,83303.0,6328403.0,,,3729418.0,,,,,,6795651.0,,,,,1564255.0,,2893594.0,,7021147.0,,,,,,,
2004,,,,327503.0,142028.0,6673.0,3890.0,,5421.0,,,,,16377.0,414793.0,,1219132.0,28004458.0,,,,,77790.0,17650.0,,,,,55586555.0,,7979866.0,161936.0,,276874.0,957.0,1841.0,0.0,,17023.0,1332489.0,,2645352.0,3309499.0,436065.0,21714.0,31915058.0,2385.0,,45005.0,,,149830.0,822317.0,,,,,,99940.0,,,,2430115.0,,,26598.0,103511510.0,531711732.0,3458.0,,,497.0,66131.0,457237.0,121338.0,,,1197594.0,,1661054.0,,,,,,,,,134333.0,83.0,82702.0,,334554.0,,,11533711.0,,,,,,,,,828041.0,,9358080.0,,,,,,55482.0,13540.0,,,,1968886676.0,70849401.0,505349.0,6558688.0,,,1087778.0,69706.0,577555.0,56733.0,,,2613561.0,,,,,,979672.0,,,,,10867.0,2260.0,40864.0,,,,,,2024490.0,2523102.0,,,,,,4516098.0,,,,,1339625.0,,2927708.0,,5995138.0,24788179.0,,,,,7991321.0,
2005,,79811.0,,192385.0,,12645.0,0.0,,26470.0,,,46766829.0,,,235802.0,,1748618.0,25237347.0,,,,,78991.0,,,431510862.0,,,,2012794.0,7077816.0,,,214871.0,561.0,3465.0,0.0,,15074.0,909102.0,,2129346.0,,374006.0,14673.0,,4023.0,,33422.0,17550.0,134279.0,148979.0,871274.0,13909978.0,,,,,49119.0,,,,2343703.0,,,102916.0,94873939.0,,2608.0,3222381.0,,110.0,67341.0,463134.0,,,,2325715.0,16137598.0,1888139.0,,,,,,,,,91260.0,192.0,69636.0,,479013.0,10597647.0,,12338881.0,,,,,,,,,,,,,,11534364.0,,881339.0,24206.0,9805.0,,,,1865534157.0,72462091.0,481781.0,7130733.0,,,526204.0,73981.0,547661.0,41814.0,,,2030839.0,6851006.0,,6132504.0,303062.0,,986816.0,,,,,13663.0,2490.0,102783.0,,,,,,,,,,,,606908.0,4535608.0,,0.0,,20444911.0,530169.0,,2954374.0,,4851413.0,,,,4907224.0,20841659.0,,
2006,,,,141145.0,,12017.0,,6410662.0,20264.0,,,,609665.0,,101919.0,,1514806.0,21220919.0,,,,,81150.0,5694.0,550805.0,,,,,,,,,222993.0,192.0,7754.0,0.0,,10603.0,758226.0,,1529704.0,,392573.0,14632.0,,4836.0,,18627.0,,,140033.0,872173.0,,,,,,71988.0,,1405664.0,,2090827.0,,,20137.0,109557782.0,,20173.0,3285495.0,162039.0,560.0,35226.0,446608.0,,18740.0,,384049.0,,1356946.0,21285.0,238414.0,,,,,2483512.0,,60478.0,18.0,43160.0,2919937.0,98058.0,,,9698953.0,,,9025106.0,2226.0,,,,,,13818.0,,438937.0,,,,,7485.0,7667.0,,,,1797063560.0,,530516.0,6188125.0,24935222.0,,355160.0,18455.0,774951.0,16145.0,,2347214.0,1303084.0,,,,,,757646.0,,,,,17210.0,1585.0,37491.0,,519.0,0.0,,4040518.0,1477142.0,,,,,,,3379596.0,,,,,315389.0,33711.0,2979787.0,,2644078.0,19507537.0,,,,,8885505.0,
2007,,,,114672.0,,31641.0,,,18115.0,,,,188109.0,6910.0,101585.0,,1168979.0,20345699.0,,81638.0,,,81647.0,5353.0,,,,6500741.0,,,,,130239.0,137583.0,270.0,13181.0,0.0,,4651.0,740033.0,,1567540.0,,252858.0,7995.0,,3371.0,,11692.0,,,149489.0,922374.0,,4253908.0,,,,68212.0,,,,1724741.0,,,24666.0,97377700.0,,5689.0,,,251.0,35313.0,463119.0,,,,171056.0,,1229916.0,,,2185076.0,,2240694.0,,,,51749.0,105.0,18309.0,,45474.0,,,,,,,2146.0,,,104905.0,,,,,,,12419783.0,,,4690.0,7268.0,,,,1707246012.0,65201730.0,445916.0,5390394.0,,,221425.0,64786.0,698324.0,102295.0,,1700557.0,636300.0,,,,,,552341.0,,,,,30570.0,714.0,41843.0,,,,,,861372.0,1740400.0,,604199.0,,,,2783434.0,,0.0,25638296.0,,217322.0,24416.0,3011243.0,,,,,,,,,
