Date,AFG,AGO,ALB,ARG,ARM,AUS,AUT,AZE,BDI,BGD,BGR,BIH,BOL,BRA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,DEU,DZA,ECU,ESP,ETH,FRA,GBR,GEO,GIN,GTM,GUF,HKG,HND,HTI,IDN,IND,IRN,ISL,ISR,ITA,JAM,JPN,KAZ,KEN,KGZ,KOR,LCA,LKA,MAR,MEX,MMR,MNG,MOZ,MWI,MYS,NGA,NIC,NOR,NPL,NZL,OWID_CZS,OWID_USS,OWID_WRL,PAK,PER,PHL,PNG,PRI,PRT,PYF,REU,ROU,RUS,RWA,SLE,SLV,SWE,SYR,TCD,THA,TJK,TTO,TUR,TWN,TZA,UGA,USA,UZB,VEN,VNM,VUT,YEM,ZAF,ZMB
1982,,,,,,,12.0,,,,,,,,,,,94.0,,,,,30.0,,,,,,,16.0,,,,,,25.0,,,275.0,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,653.0,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,100.0,,,14.0,,,,,,,,,21.0,67.0,,4.0,,0.0,,187.0,,,,,,,,50.0,,,,,,,,,21.0,,,,1168.0,95.0,596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,30.0,,,30.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,47.0,,,,,,,,,,,,,,,,,228.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,57.0,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,377.0,,150.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,261.0,,,,,,,,,,,,,,,,,153.0,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,501.0,,40.0,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,
1987,70.0,,,,,,,,,,,,,,,,32.0,65.0,,,,,653.0,,,,100.0,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,78.0,1256.0,,95.0,,,,,10.0,,,,,,,,,,,,,,,,,,,96.0,,,,,
1988,,,,,,,,,,,,,,,,0.0,,52.0,,,,,,,,,,,,,,,,,,,,,43.0,505.0,,,,,,,,,,25.0,,,,,,,,,,0.0,,,106.0,,,,952.0,,80.0,54.0,,,,,,,,,,22.0,,,,,,,64.0,,,,,,,,1.0,,,
1989,,,,,,,,,,,,,,130.0,,,,4.0,,,0.0,,,,,,,,,,,,,,,,,0.0,6.0,41.0,,,,,,18.0,,,,,,,,,,,,,,,,,49.0,,,98.0,445.0,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,30.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,43.0,141.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,24.0,,,141.0,200.0,,,,,105.0,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.0,25.0,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,49.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,75.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,712.0,55.0,,,,,,,,,0.0,,,,,,,,243.0,,,,,,,,,200.0,,,,
1993,215.0,,,,,,,,,,,,,,,,,120.0,,,,,95.0,,,15.0,460.0,,,,,,,,,1.0,,,,20.0,,,,,,83.0,,,,11.0,,65.0,,,,,,,,,,,28.0,,,,1653.0,58.0,,21.0,,,,,,,299.0,,,22.0,,,,,5.0,,135.0,,,,,,,,,,,
1994,,,,,,,,,,,,,0.0,,,,,48.0,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,162.0,,,,,,,,,,,,,,,,,,307.0,,,27.0,,,,,,,,,,,,,,9.0,,,,,,,0.0,,18.0,21.0,,,,
1995,354.0,,,,,,,,,,,,,128.0,,,,37.0,,,,,17.0,,,,,,,,,,,,,,,,,640.0,,34.0,,,,,,,,,,,,,,,,,20.0,,,,180.0,,,,1521.0,,20.0,,,,,,,,17.0,,,,,,,,,,74.0,,,,,,,,,,,
1996,,,,,,9.0,,,,,,,40.0,171.0,,,,531.0,,,,,5.0,,,,,84.0,,,,,,,,,,,23.0,48.0,,,,0.0,,14.0,,,,19.0,0.0,,,,,,,,50.0,,,,,,,,1155.0,44.0,,45.0,38.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,34.0,
1997,100.0,,,,,19.0,,,,,,,,,,,,189.0,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,21.0,,,,,,,,12.0,,,,,,,,,20.0,,,,801.0,,300.0,,,,29.0,,,,,,,,,,,,40.0,,,,,20.0,,,,,,,,
1998,70.0,,,,,,,,,,,,60.0,,,,,100.0,,,,,104.0,,,,,,,9.0,,,,51.0,,,,,,374.0,32.0,,,160.0,,0.0,,,,,,,,12.0,,,87.0,,,,,,,,,,1141.0,13.0,45.0,,,,,13.0,,,,,,,,,,,11.0,,,,,,,,,,,,,
1999,,,,,,,50.0,,,,,,,25.0,,30.0,,23.0,,,,,47.0,,5.0,,,,,11.0,,,,,,,,,89.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,445.0,,40.0,100.0,,,,,,0.0,,,,,,,,,,,,,,,,24.0,,,,,,
2000,,13.0,,,,,13.0,11.0,,,,6.0,,60.0,,16.0,,85.0,,,,,,7.0,,,44.0,,4.0,,,,,,10.0,,,,126.0,187.0,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,1012.0,,11.0,287.0,,,,,,,27.0,,,,,,,,,,,,,,,,,73.0,,,,
2001,,,,,,,,,,,,,,,,,,168.0,,,12.0,,94.0,,,,,,,,,,,,,,,,185.0,98.0,,,,,,,,,,,,,,,,,,,,,,,144.0,,,,786.0,31.0,20.0,,,,,,,,,,,,,,,,1.0,,9.0,,13.0,11.0,,,,,,,,
2002,5.0,,,,,,,,,,,,,87.0,,4.0,,63.0,,,,,70.0,,,,,,,,,,,68.0,,,,,32.0,,,,,,,,,16.0,0.0,,,,,,,,,,10.0,,,,472.0,,,,1100.0,,,,36.0,,,,,,122.0,,,,,80.0,,35.0,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,69.0,,,,,52.0,,20.0,,,35.0,,,,,,,,,,,22.0,,,,,119.0,25.0,20.0,,,,,,,,38.0,,,,,10.0,,,,,,,,,,,,,616.0,12.0,,165.0,13.0,,,,,,,,,,,,,,1.0,,,,,,15.0,,,,,,,
2004,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,119.0,,,,,,,,48.0,,49.0,,,,,,,,,,,,29.0,,,,,,403.0,,11.0,98.0,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,23.0,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,168.0,262.0,,,,,,,,,,,,,,,17.0,,,,,,,,18.0,,,,664.0,24.0,,,,,,,,,9.0,,,,,,,,16.0,,15.0,,,,,,,,,65.0,,
2006,28.0,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,184.0,,,,,4.0,,,,,,,,,,21.0,,,,,,,,,157.0,,,,1638.0,29.0,,1143.0,15.0,,,,,,,24.0,,,,,,,22.0,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,0.0,,,,33.0,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,20.0,,,,,,16.0,,,,,,,,,,,,,271.0,143.0,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,
2008,,,,,,,,,,13.0,,,,,,,,323.0,,,,,27.0,,,,,,,,,,,27.0,,,,,21.0,37.0,,,,,,,,10.0,,,,,,22.0,,,,,,,,,,,,,504.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,10.0,,,4.0,,,,,,,,,,2.0,,,,203.0,27.0,,,,30.0,,,,,,,,,,,,,,,,29.0,55.0,,,,,,44.0,,,,,,,,,24.0,,,,,,,,10.0,,,,651.0,,145.0,10.0,19.0,,,,,,,,,,,,,,,,15.0,,,,,,,13.0,,11.0,,
2010,204.0,,,,,,,,,66.0,,,,72.0,,,,2137.0,,,46.0,,175.0,,,,,,,,,,,53.0,,,,,13.0,17.0,,,,,,,,10.0,0.0,,,,,71.0,68.0,,,,,,,,,,,,3499.0,50.0,68.0,2.0,,,,,,,,21.0,16.0,,,,,,,,13.0,,,388.0,,,,,,,,9.0
2011,,,,,,,,,,17.0,,,0.0,,,,,40.0,,,,,40.0,,,,7.0,,,,,,,16.0,,,,,53.0,,,,,3.0,,,,,,59.0,,,,,,,,,16.0,,,,29.0,,,,309.0,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,111.0,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,501.0,153.0,22.0,75.0,60.0,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,
2013,24.0,,,,,,,,,,,,19.0,,,,,111.0,,,,,,,,,24.0,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,235.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,
2014,,,,24.0,,,,,,,,,74.0,,,,,35.0,,,11.0,,,,,,,,,,,,,,,,,,127.0,151.0,,,,,,82.0,,,,,,241.0,,,,,,,,,,,172.0,,,,960.0,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,
2015,324.0,,,,,,,,11.0,7.0,,,,15.0,,,,38.0,,,,,93.0,,,,,,,,,,7.0,350.0,,,,,45.0,3.0,,,,,,,,,,,,,,,38.0,,,,,,,,65.0,,,,1006.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
2016,,,,,0.0,,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,10.0,,,,,77.0,20.0,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,357.0,,,,,,,,,,,50.0,,,,,,,,,,,,15.0,,,,,,20.0,,
2017,123.0,,,0.0,,,,,6.0,160.0,,,,,,,22.0,155.0,,,174.0,,349.0,,,,,,,,,,,11.0,,,,,40.0,96.0,,,,,,,,,24.0,,,,,,,17.0,,,,,,,11.0,,,,2312.0,9.0,,,,,,,,,,,1102.0,,,,,,13.0,,,,,,,,,,,,,
2018,12.0,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,44.0,,,,,,,,,,31.0,,,,,,,,,,,,,,,,15.0,,17.0,,,,,,,,,,248.0,,,,,,,,,,,18.0,,,,,,,,,24.0,,,51.0,21.0,,,,,,,
2019,40.0,,,,,,,,37.0,2.0,,,23.0,,,,,89.0,,54.0,37.0,,32.0,,,,2.0,,23.0,,,,,,,,,,106.0,,,,,,,,,97.0,,,,,15.0,,13.0,,,8.0,,,,1.0,,,,,744.0,,15.0,,10.0,,,,,,,,,,,,52.0,,,,,,,88.0,,,,,,,,
2020,22.0,,,,,,,,,,,,,,,,,4.0,,,,,18.0,,,,,,22.0,,,,,,,,,,11.0,91.0,12.0,,,3.0,,,,,,,,,,,174.0,,,,,,,10.0,,,,,514.0,16.0,15.0,10.0,23.0,,,,,,,,,42.0,,,,,,,41.0,,,,,,,,,,,
2021,20.0,,,,,,,,,,,,,,,17.0,,,,,,,20.0,,,,,,,,,,,,,,,,32.0,68.0,,,,,,26.0,,,15.0,,,,,,,,,,,,,,,,,,224.0,,,,,,,,,,6.0,,,,,,,,12.0,,,,,,,8.0,,,,,,
2022,19.0,,,,,,,,,,,,,,,,,13.0,,19.0,,,75.0,,,,,,,,,,,,,,,,,67.0,,,,12.0,,,,,,,,,,,,,,,33.0,,,,22.0,,,,403.0,,10.0,5.0,,,,,,,,,,,,,,,,,,,,19.0,,,109.0,,,,,
2023,,,,,,,8.0,,,,,,,,,2.0,,35.0,,27.0,72.0,,29.0,,,,75.0,,,,,18.0,,86.0,,,,,60.0,64.0,,,,1.0,,,,,,,,,,,39.0,,,,,,,,,,,,654.0,11.0,38.0,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,
2024,25.0,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.0,,,150.0,23.0,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,
