Date,AFG,AGO,ALB,ARE,ARG,ARM,ASM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DOM,DZA,ECU,EGY,ERI,ESP,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CZS,OWID_GFR,OWID_SRM,OWID_USS,OWID_WRL,OWID_YAR,OWID_YGS,OWID_YPR,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1975,,,,,,,,,,,,,,,,,,,,,,118.0,,,,,,,,20000.0,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,0.0,,,,3.0,,,,,,350.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,20848.0,52.0,,,,,,0.0,,,,,,,,,,60.0,,,,0.0,,,,,,,,,,,,,,,,,,239.0,,,,,,,,,,,,,,,,,,,,,,
1976,51.0,,,,,,,0.0,,,,,,,168.0,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,20.0,,,,163.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,16.0,,,,0.0,,,,,,960.0,,,,338.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0,,,,,,,,,,
1977,,,,,0.0,,,,,,,,,0.0,13.0,,,,,,10.0,62.0,,,,,,0.0,,,,,,,,,,,7.0,,,,0.0,,,,,,,7.0,,,26.0,,,6.0,,,,,,,27.0,,,,,0.0,,,,,22.0,560.0,,,,,,23.0,,,5.0,,100.0,,,,,315.0,,,,,,,,,,,,0.0,,,,,,,,3.0,,,300.0,,,,,,,,,,,,0.0,,,,,,2568.0,,,,848.0,,21.0,24.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,45.0,,,,,140.0,,0.0,,,,,,4.0,,
1978,120.0,,,,0.0,,,7.0,,,,,,,17.0,,,,,,40.0,26.0,,,,,,,4.0,,,,,,,,,,,,,,0.0,,,,,,2.0,9.0,,,3.0,,,,,,,,,,,,,,,0.0,,,,,70.0,4610.0,,,,,,,,,8.0,,,,,,,27.0,,31.0,,,,,10.0,,,,,,,,,6.0,,,,,,,40.0,,,,0.0,,,,,,,130.0,0.0,,,2.0,,,5897.0,,,,393.0,19.0,2.0,53.0,,,,,,,,,,,,,,34.0,0.0,,,,,,,,,,,,,,,,,96.0,,,,,,,,0.0,,,,27.0,,,,74.0,,,,26.0,11.0,
1979,,,,,0.0,,,,,,,,,,,,,,,0.0,,300.0,,,,,0.0,,,,,,,,62.0,,,,,,,,,32.0,0.0,,50.0,,20.0,,,,,,,,,,,,,,15.0,,,,,,1.0,,,,164.0,253.0,,,,,,,44.0,,23.0,,,,,,,,,,,,,,,,,,,16.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,1038.0,,22.0,,13.0,,,0.0,,,,,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,
1980,0.0,,,,41.0,,,,0.0,,,,,,655.0,,,,,,0.0,67.0,,,,,,,,6303.0,,,,,40.0,,,1.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,153.0,2411.0,,256.0,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,10466.0,,,,75.0,,70.0,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,75.0,,,,,,36.0,,,,94.0,,,,,,
1981,,,,,,,,2.0,,,,,,,,,,,,,,97.0,,,,,,,,2315.0,,,,,150.0,,,,,,,,25.0,20.0,43.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,509.0,553.0,,58.0,,,,,,,,,,,,,,,,0.0,,,,,7.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,750.0,0.0,,,,,0.0,5283.0,,70.0,0.0,82.0,,70.0,353.0,,,,,30.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,30.0,,,,,,,,104.0,,
1982,,,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,447.0,,,,,90.0,,,,,,,,,,37.0,68.0,,,77.0,,,,,,,,,,,,,,,,620.0,,,1.0,,,,,3.0,932.0,,,,,,,,,345.0,,75.0,,,,,,,,,,,,54.0,,,,,,,,,25.0,,,,,,0.0,,,,0.0,,,,,,,,92.0,,,,,,0.0,4409.0,,,482.0,68.0,,332.0,33.0,,0.0,,,,0.0,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,117.0,,,0.0,,,,11.0,,,,,,,,,,
1983,,,,,0.0,,,,0.0,,,,,,245.0,,,,,,250.0,143.0,,,,,0.0,0.0,,100.0,,,,,,,,,15.0,,,,,,,239.0,,,45.0,,,,18.0,,,,,,,,,,,,,,,1.0,,,,,20.0,785.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,,,,,,,,10.0,,,,,,,186.0,0.0,,,0.0,,0.0,2321.0,,,,39.0,,,11.0,56.0,,,,19.0,76.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,10.0,,,,,,,,,,
1984,,,,,,,,36.0,,,,,,0.0,1200.0,,,,,,0.0,263.0,0.0,,,,,,,31.0,,,,,0.0,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,26.0,740.0,,,,,,,,,,,,,,,,166.0,,14.0,,,,,51.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,200.0,0.0,,,,,0.0,2930.0,,,,39.0,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,0.0,31.0,,,,,28.0,,,,33.0,,,,,,
