Date,AFG,AGO,ALB,ARE,ARG,ARM,ASM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DOM,DZA,ECU,EGY,ERI,ESP,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CZS,OWID_GFR,OWID_SRM,OWID_USS,OWID_WRL,OWID_YAR,OWID_YGS,OWID_YPR,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1998,30.0,,,,19.0,0.0,,20.0,,,,1.0,0.0,,1050.0,0.0,,,,,,13.0,,,,0.0,3.0,,,4250.0,,,,0.0,,,,,,,6.0,,,,,108.0,,,,,,,,,,5.0,,,,,,,3.0,,,,,,,,,,4.0,2131.0,,157.0,,,0.0,,,,16.0,,40.0,1.0,,,,403.0,,,,10.0,,,1.0,,,,,,,0.0,,432.0,,,3.0,,,,,,,4.0,0.0,,0.0,15.0,,0.0,,310.0,0.0,,,,,,10759.0,,,,1000.0,,,,,9.0,,50.0,,55.0,,,,31.0,14.0,,,103.0,0.0,,,,,,,,,54.0,,,,,,0.0,0.0,,51.0,,,,,92.0,3.0,61.0,0.0,18.0,1.0,31.0,,,,45.0,,,70.0,,0.0,36.0
1999,0.0,,,,,,,,3.0,,,,3.0,6.0,196.0,,,,2.0,,0.0,7.0,,,,0.0,,3.0,,1185.0,,24.0,2.0,2.0,41.0,,,9.0,,,,7.0,,,12.0,,,,,48.0,,,36.0,,,0.0,,52.0,,,53.0,,,,12.0,,,,34.0,,13.0,8.0,12.0,554.0,,81.0,,,,,,,60.0,,,,7.0,,,64.0,,,,,,,8.0,,,,,,0.0,,,654.0,,,2.0,22.0,,,23.0,0.0,,0.0,1.0,,14.0,89.0,11.0,,,170.0,0.0,,,,11.0,,34809.0,,,,34.0,1.0,74.0,164.0,2.0,,,42.0,,,,,,34.0,0.0,,,38.0,,,,7.0,,,,,,2.0,,,,,,0.0,0.0,22.0,27.0,,,,,,,,,,,0.0,,,30005.0,789.0,,,0.0,27.0,,
2000,,46.0,,,13.0,,,0.0,,,0.0,,,,43.0,,,,,,30.0,48.0,,200.0,3.0,,,,16.0,396.0,,3.0,,,113.0,,,,2.0,,0.0,,,,44.0,34.0,,,24.0,69.0,,4.0,5.0,,,0.0,,,,,,,1.0,,36.0,,,,,0.0,16.0,1.0,264.0,2086.0,,10.0,,,,46.0,,,18.0,0.0,,,347.0,,,20.0,,15.0,,,,,5.0,,,,,6.0,,,,139.0,,,15.0,,,,800.0,,,0.0,12.0,0.0,2.0,4.0,0.0,,0.0,144.0,0.0,,,,0.0,,5999.0,,,,,1.0,22.0,55.0,,,,,,,,,,9.0,3.0,,,,0.0,,,2.0,0.0,,,,,,,,0.0,,,,,107.0,,,,,,2.0,,36.0,,,0.0,8.0,,,15.0,496.0,,,,93.0,0.0,70.0
2001,,57.0,,,1.0,,,4.0,,,,,,,9.0,,,0.0,,,41.0,85.0,,,,,,,4.0,402.0,,30.0,50.0,,0.0,,,0.0,,,,,,,921.0,58.0,,,7.0,5.0,,,3.0,,,0.0,,12.0,9.0,,1.0,,11.0,,,,,,,0.0,26.0,0.0,399.0,581.0,,476.0,,,,2.0,,,1.0,0.0,4.0,,56.0,,,70.0,,0.0,,,,,0.0,,,,,15.0,,,,21.0,,,2.0,51.0,,,79.0,0.0,,59.0,8.0,,4.0,200.0,,,0.0,,,,,,,,4975.0,,,,210.0,0.0,15.0,43.0,,27.0,2.0,124.0,6.0,,,,,7.0,37.0,12.0,,3.0,,,,0.0,0.0,,,,,1.0,,,,,,100.0,,189.0,0.0,,1.0,,,12.0,,5.0,1.0,9.0,0.0,12.0,,,,339.0,,0.0,33.0,5.0,5.0,13.0
2002,81.0,8.0,1.0,,4.0,,,,9.0,,0.0,2.0,,,10.0,1.0,,,,,76.0,17.0,,,,,0.0,,19.0,1246.0,,,40.0,0.0,65.0,,,10.0,0.0,,18.0,27.0,,3.0,48.0,31.0,18.0,,22.0,22.0,,,23.0,,,1.0,,4.0,,,,,0.0,,0.0,,,,11.0,,31.0,0.0,233.0,735.0,0.0,61.0,,,,2.0,9.0,,,,85.0,,29.0,,,21.0,,2.0,,,,,2.0,,,,,80.0,1.0,,,37.0,,0.0,2.0,21.0,,,0.0,25.0,,9.0,3.0,,,0.0,0.0,,,,0.0,,,,0.0,,4179.0,,,,37.0,5.0,23.0,90.0,,,,0.0,1.0,0.0,,,,9.0,200.0,69.0,19.0,0.0,28.0,,,1.0,0.0,,,,,0.0,,,,,,,,154.0,32.0,,,,,34.0,,9.0,17.0,,0.0,26.0,,,4.0,147.0,0.0,,53.0,16.0,,
2003,136.0,15.0,,,27.0,,6.0,1.0,,0.0,,0.0,,0.0,252.0,,,,,,26.0,155.0,,,,0.0,4.0,,,662.0,,,1.0,0.0,80.0,,,1.0,0.0,,,,,10.0,41.0,0.0,,0.0,,119.0,,,10.0,,,,,,,,,0.0,0.0,,,,,,10.0,,62.0,,386.0,452.0,,0.0,,,,3.0,,,23.0,,40.0,,,,,,,,0.0,,,,235.0,,,,,35.0,,16.0,,6.0,,2.0,0.0,,,15.0,38.0,9.0,,12.0,8.0,2.0,7.0,16.0,,,,239.0,,,,,,,3730.0,,,,266.0,0.0,18.0,0.0,,,2.0,,0.0,,,,,3.0,0.0,0.0,12.0,20.0,8.0,,,,1.0,,,,,,,,,,,,,9.0,6.0,,3.0,,12.0,8.0,,0.0,25.0,0.0,0.0,24.0,,,1.0,128.0,,,15.0,1.0,4.0,2.0
2004,16.0,28.0,0.0,,5.0,1.0,,3.0,,,0.0,,,,761.0,,,0.0,,,48.0,135.0,,0.0,0.0,3.0,0.0,,3.0,450.0,,,,,115.0,,,2.0,,,,,51.0,688.0,22.0,,,0.0,0.0,,,0.0,,,,0.0,1.0,,,,,3.0,,,,,,,,,2665.0,0.0,33.0,1348.0,,40.0,0.0,,,,,,22.0,,54.0,,0.0,,,10.0,,,,,,,6.0,,,,,,,,,38.0,,0.0,,,,,,,,,16.0,0.0,,94.0,,,,185.0,4.0,,,,,,7162.0,,,,5.0,16.0,4.0,49.0,0.0,0.0,0.0,24.0,,,,,,10.0,18.0,,5.0,,,,10.0,,0.0,,,,,1.0,,,,,,,,13.0,0.0,,0.0,,,23.0,,,0.0,,,1.0,,,35.0,96.0,,,,0.0,2.0,
2005,283.0,0.0,3.0,,,,,3.0,4.0,,0.0,0.0,,,55.0,39.0,,0.0,,,,47.0,,,,1.0,4.0,6.0,5.0,578.0,,2.0,,1.0,180.0,,,5.0,,,1.0,1.0,,3.0,12.0,,,,,211.0,0.0,,3.0,,,,0.0,,,,,,,,0.0,,34.0,0.0,8.0,0.0,17.0,0.0,94.0,2129.0,,109.0,,,,,,,0.0,0.0,26.0,3.0,16.0,,,18.0,,,,,,,6.0,,0.0,,,,0.0,29.0,,41.0,,0.0,0.0,,,,3.0,0.0,,0.0,10.0,,,60.0,,,,51.0,0.0,,,,2.0,,5649.0,,,,636.0,3.0,,5.0,1.0,2.0,,193.0,,,,,,79.0,22.0,,63.0,5.0,0.0,,20.0,48.0,12.0,,,,,1.0,0.0,,,,,,,63.0,8.0,,,,,7.0,16.0,1.0,,0.0,,50.0,0.0,,97.0,192.0,,,22.0,,0.0,
2006,282.0,0.0,,,0.0,,,0.0,0.0,,22.0,,,0.0,0.0,0.0,,,,,25.0,20.0,,,,,1.0,0.0,18.0,430.0,,,1.0,6.0,150.0,,,,2.0,,6.0,0.0,,,1.0,16.0,,,0.0,951.0,,4.0,,,,,0.0,,0.0,,,,1.0,,,,0.0,,4.0,0.0,11.0,0.0,637.0,1194.0,,14.0,20.0,,,,1.0,,42.0,,212.0,,5.0,,,46.0,,,,,,,25.0,,,,,17.0,,,,0.0,,0.0,1.0,25.0,,,13.0,7.0,,9.0,9.0,5.0,4.0,40.0,,,,0.0,0.0,,,,0.0,,5868.0,,,,400.0,11.0,0.0,36.0,1.0,0.0,,278.0,0.0,,,,,51.0,0.0,,,27.0,,,,,102.0,,,,3.0,1.0,,,,,6.0,52.0,0.0,293.0,,,,,,59.0,3.0,0.0,3.0,2.0,,43.0,,,0.0,178.0,,,30.0,12.0,,
2007,296.0,105.0,,,10.0,,,9.0,,,5.0,,10.0,52.0,1230.0,12.0,,,,,58.0,69.0,,,,1.0,0.0,1.0,,1019.0,0.0,8.0,32.0,0.0,218.0,,,19.0,0.0,,,1.0,,12.0,82.0,,,,5.0,17.0,,6.0,,,,14.0,,56.0,0.0,,0.0,,2.0,,11.0,,,,6.0,,61.0,,506.0,2051.0,,12.0,,,,,,,2.0,,19.0,0.0,2.0,,,3.0,,,,1.0,,,33.0,,,,,,,7.0,0.0,22.0,,,18.0,5.0,0.0,,51.0,3.0,,2.0,46.0,7.0,7.0,91.0,10.0,,,214.0,,,,,,,8590.0,,,,526.0,2.0,17.0,40.0,,,,610.0,,,,,,12.0,0.0,30.0,,150.0,8.0,,0.0,2.0,25.0,0.0,,,,,,,,,,15.0,41.0,53.0,22.0,,1.0,,16.0,16.0,,,33.0,,2.0,80.0,,,,230.0,,,93.0,0.0,4.0,23.0
2008,0.0,7.0,,,0.0,,,7.0,,,9.0,,15.0,6.0,28.0,,,,,1.0,57.0,200.0,,,,0.0,0.0,,9.0,352.0,6.0,9.0,15.0,,79.0,,,7.0,0.0,,,,,,93.0,41.0,,,,45.0,,,,0.0,,8.0,,0.0,0.0,,0.0,0.0,,,30.0,,0.0,,67.0,,,,96.0,1590.0,,22.0,4.0,,,9.0,,,5.0,1.0,55.0,,,0.0,,10.0,,6.0,,0.0,,,48.0,,,,,39.0,3.0,,,12.0,0.0,,0.0,,,,7.0,,,0.0,0.0,42.0,7.0,,17.0,,,115.0,,,,,,,4032.0,,,,83.0,28.0,40.0,116.0,0.0,,,,2.0,,0.0,,,5.0,,0.0,,,1.0,,,30.0,0.0,,17.0,,2.0,,,,0.0,,,0.0,6.0,39.0,,,0.0,,,,,73.0,49.0,38.0,,44.0,,,8.0,153.0,,,90.0,11.0,14.0,4.0
2009,69.0,62.0,0.0,,9.0,,,7.0,1.0,0.0,0.0,,10.0,9.0,16.0,,,0.0,,,0.0,90.0,,,0.0,1.0,0.0,,,209.0,,,0.0,,31.0,2.0,3.0,,,,13.0,0.0,,7.0,48.0,3.0,,,,,,12.0,,,,3.0,,40.0,2.0,,5.0,,,,0.0,,,,,,21.0,,142.0,1500.0,0.0,,2.0,,,35.0,,,,,32.0,,,,,,,10.0,,2.0,,,3.0,,,,,29.0,,,,28.0,,,25.0,,0.0,26.0,21.0,1.0,,0.0,0.0,92.0,3.0,31.0,0.0,,,117.0,,,,,,,3523.0,,,,102.0,0.0,40.0,55.0,,1.0,,,,0.0,,,,11.0,,,161.0,20.0,6.0,21.0,103.0,,0.0,0.0,,,,,,,,,,6.0,0.0,15.0,21.0,,,,17.0,47.0,,27.0,,,1.0,11.0,,,,41.0,0.0,,,14.0,31.0,
2010,135.0,25.0,0.0,,,,,5.0,,3.0,0.0,3.0,46.0,16.0,15.0,0.0,,3.0,,,26.0,351.0,,,,3.0,,,,1911.0,18.0,13.0,0.0,,335.0,,,27.0,,,11.0,3.0,,7.0,,14.0,27.0,,2.0,19.0,,,25.0,,,,,63.0,8.0,,9.0,2.0,1.0,,0.0,,,,122.0,0.0,44.0,1.0,411.0,690.0,,,,,2.0,0.0,,,10.0,44.0,218.0,,8.0,,,,,,,1.0,,0.0,35.0,,4.0,,,42.0,1.0,,,66.0,,,0.0,,0.0,,5.0,0.0,,0.0,,8.0,5.0,40.0,66.0,,,150.0,,,,,,,8300.0,,,,2113.0,15.0,138.0,78.0,,19.0,,0.0,43.0,,0.0,,,26.0,23.0,,24.0,36.0,2.0,2.0,0.0,,11.0,2.0,0.0,,,4.0,,,,,,24.0,22.0,258.0,75.0,,,,,,,11.0,,6.0,,20.0,,,41.0,186.0,,,22.0,,0.0,0.0
2011,62.0,130.0,,,,,,30.0,,,0.0,0.0,0.0,,10.0,,,,,,52.0,973.0,,,0.0,0.0,5.0,,,628.0,,,0.0,,356.0,,,4.0,,,,4.0,,4.0,10.0,0.0,,,1.0,0.0,,,6.0,,,,7.0,20.0,0.0,,,,,,59.0,,,,33.0,,36.0,,62.0,608.0,2.0,,6.0,,,16.0,,,6.0,2.0,33.0,,247.0,,,62.0,,48.0,,,,,65.0,26.0,,,,,,,,77.0,,,1.0,151.0,,,11.0,,,4.0,2.0,108.0,16.0,174.0,17.0,,,104.0,,,,,,,6279.0,,,,509.0,0.0,18.0,206.0,,,,64.0,,,,,,,0.0,14.0,11.0,,0.0,,21.0,35.0,0.0,,,,,,,,,,,,,855.0,0.0,,,,,8.0,,37.0,27.0,,,17.0,,0.0,17.0,122.0,,,,40.0,0.0,0.0
2012,149.0,0.0,,,6.0,,,4.0,,,,,4.0,18.0,139.0,5.0,,,,,13.0,20.0,,,,,0.0,,0.0,622.0,,25.0,1.0,19.0,77.0,4.0,,6.0,2.0,,,,,0.0,69.0,29.0,,,10.0,,,15.0,,,1.0,8.0,5.0,,,,,,1.0,,,,,,,0.0,42.0,,41.0,279.0,,7.0,4.0,,,4.0,,,30.0,0.0,73.0,0.0,14.0,,,,,,,,,,53.0,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,91.0,363.0,9.0,,,72.0,,,,,,,3633.0,,,,518.0,6.0,68.0,157.0,5.0,,,88.0,,0.0,0.0,,,,179.0,5.0,19.0,35.0,19.0,0.0,,,31.0,,47.0,,,,0.0,,,,,20.0,,22.0,0.0,,,,,13.0,6.0,10.0,0.0,,,2.0,,,0.0,34.0,,,,13.0,,
2013,113.0,9.0,,,52.0,,,,4.0,,,,0.0,2.0,,,0.0,,,,70.0,105.0,,,12.0,0.0,4.0,,,637.0,,0.0,,,7.0,,,,2.0,,15.0,4.0,,0.0,,0.0,,,0.0,0.0,,,2.0,,,0.0,0.0,5.0,0.0,,2.0,,,,,,,,,,6.0,0.0,89.0,6453.0,,,11.0,,,18.0,,,5.0,,128.0,,200.0,,,,,23.0,,,16.0,6.0,110.0,,,,,,,,,13.0,,1.0,37.0,7.0,,,119.0,8.0,11.0,7.0,4.0,0.0,32.0,19.0,27.0,,,195.0,,,,,,,9778.0,,,,268.0,,68.0,105.0,0.0,,,51.0,,0.0,5.0,,,9.0,4.0,,39.0,76.0,8.0,0.0,,,7.0,0.0,99.0,,,1.0,,,,,,,,84.0,,,,,,,,,13.0,2.0,,31.0,,12.0,,141.0,,,40.0,,0.0,125.0
2014,512.0,,,,3.0,,,,,,96.0,,,,59.0,20.0,,26.0,,,52.0,55.0,,,,,0.0,,0.0,473.0,46.0,0.0,154.0,,77.0,,,,,,,,,1.0,,,,,,,,,14.0,,,2.0,0.0,,,,,,0.0,,0.0,,,,4.0,3.0,12.0,0.0,77.0,622.0,,37.0,,,,10.0,,,,5.0,,,45.0,0.0,,17.0,,0.0,,,,,89.0,,,,,11.0,,,,,0.0,,,0.0,,,22.0,,,,17.0,,36.0,15.0,0.0,,,318.0,,,,,,,3523.0,,,,255.0,9.0,35.0,5.0,0.0,,1.0,,,0.0,,,,4.0,6.0,,,39.0,,47.0,,,0.0,56.0,,,,,3.0,,11.0,0.0,,,,29.0,20.0,,,,,,,31.0,,,,2.0,,,,,,,,32.0,0.0,8.0
2015,7.0,75.0,1.0,,8.0,,,6.0,,,34.0,,,8.0,31.0,5.0,,0.0,,0.0,40.0,11.0,,,,,,,178.0,310.0,16.0,4.0,49.0,,0.0,,,0.0,3.0,,,,,2.0,12.0,12.0,,,8.0,0.0,,,20.0,,,0.0,40.0,25.0,9.0,,,,3.0,,8.0,,0.0,,,0.0,6.0,,9.0,839.0,,52.0,58.0,,,6.0,,,21.0,2.0,119.0,,0.0,,,,,4.0,,,,,16.0,,,,,,,26.0,,0.0,,7.0,5.0,172.0,,,160.0,,,278.0,1.0,,27.0,53.0,2.0,,,,1.0,,,,,,3484.0,,,,367.0,0.0,15.0,53.0,0.0,,,33.0,1.0,8.0,,,,1.0,1.0,2.0,23.0,20.0,,,10.0,1.0,0.0,,,,,,,,,,,,,,0.0,,,,,17.0,,12.0,,,2.0,89.0,,,0.0,34.0,,,,,,6.0
2016,84.0,113.0,2.0,,3.0,,,1.0,0.0,,18.0,1.0,,15.0,106.0,,,,,,4.0,33.0,,,,,0.0,,12.0,816.0,20.0,,50.0,,10.0,,,,,,,7.0,,15.0,,9.0,,,5.0,128.0,,,5.0,,,,,10.0,,,,,4.0,,,,,,6.0,,53.0,0.0,89.0,666.0,,,,,,2.0,,,7.0,,61.0,,,,,,,5.0,,0.0,,,203.0,,,,,,,,,25.0,,22.0,13.0,19.0,,,51.0,,,12.0,0.0,,61.0,18.0,,,,163.0,0.0,2.0,,,,,4438.0,,,,369.0,,2.0,45.0,0.0,2.0,,552.0,,4.0,,,,3.0,0.0,67.0,21.0,171.0,5.0,,,,9.0,0.0,0.0,,,,,,,,,,,21.0,4.0,,,,,,,16.0,0.0,3.0,8.0,63.0,,0.0,0.0,91.0,,,20.0,13.0,,
2017,36.0,11.0,1.0,0.0,1.0,,,,,,,,,2.0,144.0,,,,,,,14.0,,,0.0,0.0,2.0,,9.0,231.0,15.0,3.0,105.0,,35.0,,,,,,,0.0,,,,,,,,,,,1.0,,,0.0,,0.0,0.0,,6.0,,23.0,,1.0,,0.0,,18.0,,31.0,,44.0,1046.0,0.0,60.0,,,,0.0,,,37.0,0.0,26.0,,,,,,,,,,,,302.0,,,,,,,,,2.0,,,,3.0,,,12.0,,,0.0,9.0,0.0,72.0,20.0,7.0,,,187.0,0.0,3.0,,,,,3349.0,,,,180.0,,200.0,22.0,,,,,,,,0.0,,,0.0,,4.0,25.0,,,,,,,,,,,,,,,,,0.0,150.0,0.0,,,,,,5.0,7.0,17.0,,0.0,30.0,,,,137.0,,,50.0,3.0,,
2018,101.0,8.0,0.0,,0.0,,,0.0,,,0.0,,,,35.0,0.0,,,0.0,,6.0,7.0,,,0.0,,0.0,,,244.0,20.0,,51.0,,26.0,,,1.0,,,,,,0.0,6.0,,,,13.0,,,,14.0,,,,0.0,34.0,,,,,,,2.0,,,,6.0,0.0,,,80.0,710.0,,9.0,21.0,,12.0,10.0,,34.0,246.0,0.0,134.0,,0.0,,,,1.0,136.0,,,,,34.0,,,,,,,,,20.0,,,0.0,35.0,,0.0,11.0,,,5.0,2.0,,36.0,300.0,4.0,,,15.0,0.0,,,,,,2881.0,,,,60.0,,,11.0,,,0.0,148.0,,0.0,,,0.0,0.0,10.0,58.0,,46.0,,,,4.0,5.0,0.0,,,,,,,,,,,,,6.0,,,0.0,13.0,,,15.0,,,,7.0,,,2.0,67.0,,,,,,
2019,171.0,69.0,,,6.0,,,3.0,,,24.0,,,,114.0,,,1.0,,,60.0,47.0,,,,0.0,1.0,,6.0,355.0,12.0,,43.0,0.0,52.0,,,,,,,,11.0,,,14.0,,,17.0,0.0,,,8.0,,,1.0,0.0,32.0,,,,,,,,,,,,1.0,14.0,,276.0,2023.0,,76.0,10.0,,,0.0,,,13.0,,90.0,,12.0,,,,,19.0,,,4.0,,30.0,,,,,24.0,,9.0,0.0,12.0,,,15.0,115.0,,12.0,33.0,3.0,,60.0,2.0,,52.0,24.0,,,,119.0,,6.0,,,,,5074.0,,,,206.0,,61.0,0.0,2.0,,,,,40.0,,,,4.0,59.0,28.0,20.0,78.0,6.0,,7.0,,17.0,0.0,3.0,,,,,,,,2.0,0.0,,19.0,4.0,,,,,18.0,,47.0,127.0,,0.0,10.0,,,6.0,55.0,,,26.0,98.0,4.0,26.0
2020,293.0,35.0,,,3.0,,,1.0,,,3.0,,6.0,13.0,257.0,,,0.0,,,26.0,151.0,,,,,1.0,,,410.0,24.0,0.0,83.0,20.0,25.0,,1.0,,,,,,8.0,,,0.0,40.0,,,12.0,,,2.0,,,0.0,0.0,7.0,0.0,,,,8.0,,3.0,0.0,,,3.0,,,,249.0,2104.0,,40.0,8.0,,7.0,5.0,,,82.0,0.0,285.0,,,,,52.0,,,,,,,6.0,,,,,,,40.0,,30.0,,,,0.0,,10.0,47.0,9.0,,1.0,0.0,0.0,83.0,189.0,,,,448.0,0.0,3.0,,,,,6397.0,,,,507.0,11.0,15.0,,19.0,0.0,,22.0,,,,,,3.0,,111.0,3.0,155.0,11.0,,,,32.0,0.0,0.0,,,1.0,,,,,,3.0,11.0,31.0,2.0,,3.0,,6.0,24.0,,43.0,27.0,3.0,0.0,1.0,4.0,,3.0,5.0,,,202.0,3.0,3.0,
2021,376.0,22.0,0.0,,0.0,,,6.0,1.0,,0.0,39.0,13.0,,21.0,0.0,,0.0,,,46.0,49.0,,10.0,,0.0,4.0,0.0,0.0,391.0,,,,24.0,22.0,,,3.0,,,0.0,197.0,,,13.0,6.0,3.0,,3.0,16.0,,,2.0,,,,0.0,9.0,5.0,,,,,,2.0,,0.0,,,,7.0,,58.0,1557.0,,11.0,16.0,,,1.0,,,12.0,,9.0,,0.0,,,,,,,,,,35.0,,,0.0,,24.0,,1.0,,30.0,,,,0.0,,0.0,0.0,,,,69.0,0.0,62.0,4.0,,0.0,,251.0,0.0,,,,,,4137.0,,,,220.0,1.0,23.0,5.0,,0.0,,0.0,,10.0,,,,1.0,8.0,0.0,,52.0,,,,5.0,25.0,0.0,7.0,8.0,0.0,1.0,0.0,0.0,,,1.0,32.0,,14.0,7.0,,,,3.0,73.0,,1.0,5.0,,,58.0,,,46.0,24.0,,,46.0,31.0,,
2022,252.0,,,,,,,31.0,,,,,44.0,,141.0,0.0,,1.0,,,64.0,541.0,,,,16.0,0.0,,,124.0,13.0,2.0,223.0,0.0,81.0,,,,3.0,,,,,0.0,,76.0,,,,0.0,,,,,,,0.0,0.0,0.0,,6.0,,,,48.0,,0.0,,9.0,0.0,7.0,,57.0,2098.0,,98.0,,,,,,,2.0,,,,15.0,,,14.0,,1.0,,,,0.0,12.0,,,,,,,34.0,,13.0,,,10.0,,,0.0,53.0,14.0,,41.0,27.0,,195.0,603.0,,,,147.0,,,,,,,8011.0,,,,1739.0,0.0,1.0,73.0,,,0.0,,,,,,,,1.0,29.0,,146.0,0.0,,12.0,,0.0,,0.0,,0.0,,,,,,,22.0,0.0,19.0,,,,0.0,1.0,3.0,,10.0,57.0,,0.0,42.0,5.0,,33.0,30.0,,,90.0,579.0,3.0,0.0
2023,65.0,84.0,,,0.0,,,0.0,,,21.0,0.0,,,4.0,4.0,,0.0,0.0,,22.0,124.0,,,,,6.0,,7.0,138.0,,,3014.0,10.0,3.0,,,,6.0,,0.0,,,35.0,8.0,30.0,,,3.0,151.0,,,0.0,,,,0.0,8.0,8.0,,,,17.0,,78.0,,,0.0,,0.0,80.0,,6.0,1624.0,,,,,,17.0,,,6.0,,219.0,,,,,58.0,,7.0,,,,,0.0,,,,0.0,,,,,11.0,,,,10.0,,4.0,49.0,1.0,,21.0,6.0,0.0,41.0,275.0,,,,36.0,4.0,,,,,,7617.0,,,,335.0,,96.0,71.0,,,,,,6.0,,,,,,131.0,,,,,,,165.0,2.0,,,,,0.0,,,,0.0,,,6.0,21.0,,,,,27.0,,51.0,23.0,0.0,0.0,13.0,,,12.0,24.0,,,248.0,65.0,0.0,
2024,46.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,56.0,,,,,,,,,,,,7.0,,,,,,0.0,,,,,0.0,6.0,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,3.0,,,,,,,4.0,10.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,7.0,,,,,212.0,,,,40.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,10.0,,,,,0.0,,,,,,,,,13.0,,
